ID_Motif,Support,Document,Structure_Abstraite,Mot_1,Relation_1,Mot_2,Relation_2,Mot_3,Relation_3,Mot_4,Relation_4,Mot_5,Relation_5,Mot_6
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],granulome,CONTAINS,panoramique,BEFORE,ponction,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],épanchement,CONTAINS,TDM,BEFORE,panoramique,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],CRP,CONTAINS,bilan,BEFORE,TDM,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],leucocytes,CONTAINS,examen,BEFORE,examen,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],streptococcus,CONTAINS,culture,BEFORE,réajustée,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],bactéries,CONTAINS,examen,BEFORE,examen,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],abondantes,CONTAINS,examen,BEFORE,antibiothérapie,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],mixte,CONTAINS,examen,BEFORE,antibiothérapie,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],glycémie,CONTAINS,bilan,BEFORE,TDM,,,,,,
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],délabrement,CONTAINS,panoramique,BEFORE,ponction,,,,,,
21,70,FR100078,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],pouls,CONTAINS,examen,BEFORE,doppler,,,,,,
